"NBa7we src","d4r55","RfnDt","eaLgGf src","hCCjke src","hCCjke src 2","hCCjke src 3","hCCjke src 4","hCCjke src 5","rsqaWe","W8gobe","wiI7pd","RfDO5c","RfDO5c 2","RfDO5c 3","RfDO5c 4","RfDO5c 5","RfDO5c 6","RfDO5c 7","RfDO5c 8","RfDO5c 9","RfDO5c 10","RfDO5c 11","RfDO5c 12","dSlJg src","znYl0","dSlJg src 2","znYl0 2","w8nwRe"
"https://lh3.googleusercontent.com/a-/ALV-UjWNfi4utVbbWDVx5mSRdBWJPFjK7vs0r7AE_sAqtcYl=w36-h36-p-rp-mo-ba2-br100","Dimas Hamdan","Local Guide · 9 ulasan · 15 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","1 hari lalu","Baru","Kemarin kesini pas ziarah wali 5 & madura. Tempat nya luas, parkiran juga luas. Bebeknya the best sihh, definisi makan bebek sinjay langsung di tempatnya di madura✨

Recomend banget deh kalo ke madura wajib makan disini, vibes makan bareng keluarga manteb banget","Layanan","Makan di tempat","Tarif per orang","Rp 25.000–50.000","5","","","Makanan:","5","Layanan:","Bebek Goreng Sambel Pencit","Suasana:","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan",""
"https://lh3.googleusercontent.com/a-/ALV-UjXJ2sed-jtTrtfmadVi7-gEe1JgRjRPh_e7QzyYgGl_nI8=w36-h36-p-rp-mo-ba2-br100","Rayquazablast (RBlast)","Local Guide · 2 ulasan · 2 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","1 hari lalu","Baru","Makanan lezat dengan porsi besar","Layanan","Makan di tempat","Jenis makanan","Makan siang","Tarif per orang","Rp 50.000–75.000","5","Makanan:","5","Layanan:","4","Suasana:","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan",""
"https://lh3.googleusercontent.com/a/ACg8ocLjuz0PZiPdLybIr7GAp2lPRLtaKX-kdCpf04xfXiTq=w36-h36-p-rp-mo-br100","Ratna Kartikasari","3 ulasan","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","1 hari lalu","Baru","","","","","","","","","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUy_Zolw4l6zv9dLyPM3MSNc0n8EoxznDDq3WLvvkUG1Q=w36-h36-p-rp-mo-ba4-br100","Prawono Meruanto","Local Guide · 58 ulasan · 54 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","1 hari lalu","Baru","","","","","","","Tarif per orang","Rp 50.000–75.000…","","","","","","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","Lainnya"
"https://lh3.googleusercontent.com/a-/ALV-UjWTOVzQeiyhJqd_5eIM94KHkXv_bsvfCbcHlB-24GOuDV8=w36-h36-p-rp-mo-ba2-br100","Yuki Trias","Local Guide · 20 ulasan · 1 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","1 hari lalu","Baru","Enak","","","","","","","","","","","","","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan",""
"https://lh3.googleusercontent.com/a-/ALV-UjVZ_qzmqj7nwJQvRXZ12u76mKbeQP8E0dBIqw3XAxl8ZCc=w36-h36-p-rp-mo-ba2-br100","107_Amaniyah Nurul Azizah","Local Guide · 3 ulasan · 13 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","1 hari lalu","Baru","","5…","Makanan:","","","","5","","Layanan:","","","","","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","Lainnya"
"https://lh3.googleusercontent.com/a-/ALV-UjVonpm5KlosDTFnerklWFXVRXc-LMjealH3t9vwlHsx932c=w36-h36-p-rp-mo-br100","Ika Lilis Istiadah","13 ulasan · 1 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 hari lalu","Baru","Tempatnya luas..bagus..masjidnya bagus bersih..kamar mandi nya bnyk bersih..
Masakan bebeknya empuk gurih pokoke mantul sedap sambalnya..rekomended utk oleh²..ada tempat oleh² nya jg..lengkap 👍👍","Layanan","Bawa pulang","Jenis makanan","Makan malam","Tarif per orang","Rp 25.000–50.000","5","Makanan:","5","Layanan:","5","Suasana:","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan",""
"https://lh3.googleusercontent.com/a-/ALV-UjWhHQ4G4MypAsiE8-SSlQQyGkOjq2AYGG_bRPvyCSP7468=w36-h36-p-rp-mo-br100","Bobby Lim","2 ulasan · 6 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 hari lalu","Baru","","","","","","","","","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVgQBC2oepQdoUh3yYEx4bZ9asmpPsEFNgb1KQbgZ249zA=w36-h36-p-rp-mo-br100","alimin","1 ulasan · 1 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 hari lalu","Baru","","","","","","","Layanan","Makan di tempat…","","","","","","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","Lainnya"
"https://lh3.googleusercontent.com/a-/ALV-UjWHP2kpORurMkijXaCsYOxt2nOGmMyEhc093swqRHvhRG0=w36-h36-p-rp-mo-ba3-br100","Fqh Karthyka","Local Guide · 17 ulasan · 12 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 hari lalu","Baru","Bebeknya diolah dengan cita rasa dan bumbu yang khas, walaupun ramai pengunjung tetapi kita menunggu tidak terlalu lama","Layanan","Makan di tempat","Tarif per orang","Rp 25.000–50.000","5","","","Makanan:","5","Layanan:","Bebek Goreng Sambel Pencit","Suasana:","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan",""
"https://lh3.googleusercontent.com/a-/ALV-UjUTfRqREE2o1k1fiDBGnRY1rC0vsXcFiNNNerccJphrng=w36-h36-p-rp-mo-ba6-br100","Eko Budhi","Local Guide · 605 ulasan · 1.011 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 hari lalu","Baru","Lebih luas lebih nyaman dari resto lamanya, tapi kurang greget buat antriannya nggak asik kalau nggak panjang.. 😁","Layanan","Makan di tempat","Jenis makanan","Makan siang","Tarif per orang","Rp 50.000–75.000","5","Makanan:","5","Layanan:","5","Suasana:","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan",""
"https://lh3.googleusercontent.com/a-/ALV-UjW__tGjT7N4q-GFA11whLlidMAXvzV4PIcFCEhxVoidxlY=w36-h36-p-rp-mo-ba3-br100","Double A official","Local Guide · 3 ulasan · 69 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 hari lalu","Baru","","","","","","","Layanan","Makan di tempat…","","","","","","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","Lainnya"
"https://lh3.googleusercontent.com/a/ACg8ocJBTOidijTQA93mvaOnjFWoDM4Pi3xVD5oJ0IxAjQlo=w36-h36-p-rp-mo-br100","Zainal Aripin","","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 hari lalu","Baru","","","","","","","","","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXp4fySjhfAcE42IThDbutXzgbs1YrfA_44yZgW4LhPgQ=w36-h36-p-rp-mo-ba5-br100","mas nurul","Local Guide · 258 ulasan · 650 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","2 hari lalu","Baru","Pengemar bebek madura harus nyobain ke sini, banyak cabang sih sebetulnya","Layanan","Makan di tempat","Jenis makanan","Makan siang","Tarif per orang","Rp 25.000–50.000","4","Makanan:","4","Layanan:","4","Suasana:","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan",""
"https://lh3.googleusercontent.com/a-/ALV-UjWkGqDW09GDumekihfZQQHeu8mj-neGzxTpo5Et3kXl9rY=w36-h36-p-rp-mo-ba3-br100","abi SANTOSO","Local Guide · 24 ulasan · 6 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 hari lalu","Baru","","5…","Makanan:","","","","5","","Layanan:","","","","","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","Lainnya"
"https://lh3.googleusercontent.com/a-/ALV-UjXpSgUjJ5Zt4lUs3Ig0hyaUzwS4Ej6RDmfxDa_9z5kBUw=w36-h36-p-rp-mo-ba3-br100","sumhari hari","Local Guide · 8 ulasan · 56 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 hari lalu","Baru","","5…","Makanan:","","","","5","","Layanan:","","","","","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","Lainnya"
"https://lh3.googleusercontent.com/a-/ALV-UjVncuEOUvYd8_oP771nSmEUSPa2uFmD9uQh5GMpdquefRI=w36-h36-p-rp-mo-ba3-br100","slark crawler","Local Guide · 5 ulasan · 39 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 hari lalu","Baru","","","","","","","Layanan","Makan di tempat…","","","","","","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","Lainnya"
